id                         cat             z    s_min  s_max_pre  s_render  ratio_or_cull  ok
------------------------------------------------------------------------------------------------
sky                        sky        -28000    0.041      0.053     0.053          1.28x  ✓
distant_mountain_left      distant    -24113    0.047      0.063     0.063          1.34x  ✓
distant_treeline_a         distant    -22390    0.051      0.070     0.070          1.37x  ✓
distant_mountain_right     distant    -20237    0.056      0.080     0.080          1.43x  ✓
distant_treeline_b         distant    -18774    0.060      0.088     0.088          1.47x  ✓
mid_tree_00                mid         -8021    0.130      0.426     0.426          3.28x  ✓
mid_tree_01                mid         -7375    0.140      0.554     0.554          3.95x  ✓
mid_tree_02                mid         -7025    0.146      0.660     0.660          4.52x  ✓
mid_tree_03                mid         -6477    0.156      0.945     0.945          6.04x  ✓
mid_tree_04                mid         -5831    0.171      1.639     1.924   cull@t=7.73s  ✓
mid_tree_05                mid         -5208    0.187      1.621     3.784   cull@t=6.90s  ✓
mid_tree_06                mid         -4778    0.201      1.620     3.860   cull@t=6.37s  ✓
mid_tree_07                mid         -4296    0.218      1.642     3.857   cull@t=5.77s  ✓
mid_tree_08                mid         -3600    0.250      1.615     3.744   cull@t=4.87s  ✓
mid_tree_09                mid         -3250    0.270      1.665     3.842   cull@t=4.47s  ✓
near_tree_00               near        -2813    0.299      1.644     3.857   cull@t=3.93s  ✓
near_tree_01               near        -2661    0.311      1.607     3.681   cull@t=3.73s  ✓
near_tree_02               near        -2542    0.321      1.623     3.765   cull@t=3.60s  ✓
near_tree_03               near        -2432    0.331      1.618     3.739   cull@t=3.47s  ✓
near_tree_04               near        -2301    0.343      1.661     3.966   cull@t=3.33s  ✓
near_tree_05               near        -2132    0.361      1.665     3.976   cull@t=3.13s  ✓
near_tree_06               near        -2022    0.373      1.660     3.951   cull@t=3.00s  ✓
near_tree_07               near        -1857    0.393      1.651     3.912   cull@t=2.80s  ✓
near_tree_08               near        -1747    0.408      1.644     3.891   cull@t=2.67s  ✓
near_tree_09               near        -1637    0.423      1.637     3.868   cull@t=2.53s  ✓
near_tree_10               near        -1515    0.443      1.659     3.661   cull@t=2.40s  ✓
near_tree_11               near        -1396    0.463      1.609     3.726   cull@t=2.23s  ✓
near_tree_12               near        -1279    0.485      1.620     3.773   cull@t=2.10s  ✓
near_tree_13               near        -1124    0.517      1.655     3.944   cull@t=1.93s  ✓
near_tree_14               near         -984    0.550      1.658     3.930   cull@t=1.77s  ✓
near_tree_15               near         -841    0.589      1.607     3.967   cull@t=1.57s  ✓
near_tree_16               near         -687    0.637      1.643     3.800   cull@t=1.40s  ✓
near_tree_17               near         -577    0.677      1.641     3.789   cull@t=1.27s  ✓
foreground_fog_wisp_a      frame        -458    0.725      1.656     3.884   cull@t=1.13s  ✓
foreground_leaf_cluster_a  frame        -404    0.750      1.651     3.876   cull@t=1.07s  ✓
foreground_branch_tip      frame        -353    0.774      1.636     3.820   cull@t=1.00s  ✓
foreground_fog_wisp_b      frame        -312    0.796      1.664     3.992   cull@t=0.97s  ✓
foreground_leaf_cluster_b  frame        -277    0.814      1.612     3.740   cull@t=0.90s  ✓
foreground_dust_motes      frame        -231    0.840      1.648     3.960   cull@t=0.87s  ✓
foreground_fog_wisp_c      frame        -184    0.869      1.620     3.853   cull@t=0.80s  ✓
foreground_leaf_cluster_c  frame        -149    0.892      1.630     3.945   cull@t=0.77s  ✓
